model,category,precision,recall,f1_score,support
linear_svm,ARTS & CULTURE,0.2064516129032258,0.11940298507462686,0.15130023640661938,268.0
linear_svm,TASTE,0.27011494252873564,0.11217183770883055,0.15851602023608768,419.0
linear_svm,U.S. NEWS,0.3516483516483517,0.11636363636363636,0.17486338797814208,275.0
linear_svm,ARTS,0.2568306010928962,0.15562913907284767,0.19381443298969073,302.0
linear_svm,FIFTY,0.31386861313868614,0.15357142857142858,0.20623501199040767,280.0
linear_svm,GOOD NEWS,0.3333333333333333,0.175,0.22950819672131148,280.0
linear_svm,HEALTHY LIVING,0.35987748851454826,0.17576664173522813,0.23618090452261306,1337.0
linear_svm,PARENTS,0.3634020618556701,0.18076923076923077,0.24143835616438356,780.0
linear_svm,STYLE,0.39069767441860465,0.18666666666666668,0.25263157894736843,450.0
linear_svm,WEIRD NEWS,0.32917705735660846,0.23783783783783785,0.27615062761506276,555.0
linear_svm,CULTURE & ARTS,0.38345864661654133,0.2372093023255814,0.29310344827586204,215.0
linear_svm,WORLDPOST,0.3672316384180791,0.25193798449612403,0.2988505747126437,516.0
linear_svm,IMPACT,0.38716814159292035,0.25107604017216645,0.30461270670147955,697.0
linear_svm,ENVIRONMENT,0.41714285714285715,0.25259515570934254,0.3146551724137931,289.0
linear_svm,GREEN,0.3617021276595745,0.2919847328244275,0.32312565997888065,524.0
linear_svm,WOMEN,0.3843283582089552,0.2930298719772404,0.33252623083131555,703.0
linear_svm,WORLD NEWS,0.41935483870967744,0.29545454545454547,0.3466666666666667,660.0
linear_svm,LATINO VOICES,0.5462962962962963,0.2610619469026549,0.3532934131736527,226.0
linear_svm,MONEY,0.4095940959409594,0.3162393162393162,0.35691318327974275,351.0
linear_svm,COLLEGE,0.39805825242718446,0.35807860262008734,0.37701149425287356,229.0
linear_svm,BLACK VOICES,0.4434907010014306,0.33805888767720826,0.38366336633663367,917.0
linear_svm,EDUCATION,0.4506172839506173,0.35960591133004927,0.4,203.0
linear_svm,THE WORLDPOST,0.45791245791245794,0.3710777626193724,0.40994724943481536,733.0
linear_svm,MEDIA,0.4955947136563877,0.38200339558573854,0.4314477468839885,589.0
linear_svm,SCIENCE,0.4732620320855615,0.4013605442176871,0.4343558282208589,441.0
linear_svm,BUSINESS,0.4653284671532847,0.4257095158597663,0.44463818657367044,1198.0
linear_svm,TECH,0.4780361757105943,0.44471153846153844,0.46077210460772106,416.0
linear_svm,COMEDY,0.5590551181102362,0.39444444444444443,0.46254071661237783,1080.0
linear_svm,RELIGION,0.5033407572383074,0.4405458089668616,0.4698544698544699,513.0
linear_svm,CRIME,0.4684796044499382,0.5323033707865169,0.4983563445101907,712.0
linear_svm,PARENTING,0.49331489165514064,0.610730593607306,0.5457791379750063,1752.0
linear_svm,SPORTS,0.5704526046114432,0.6581280788177339,0.6111619396157365,1015.0
linear_svm,FOOD & DRINK,0.5660252156602521,0.6727129337539433,0.6147747747747748,1268.0
linear_svm,ENTERTAINMENT,0.5735920492191198,0.697955657932623,0.6296921678140018,3473.0
linear_svm,WELLNESS,0.5568627450980392,0.7517414321538033,0.6397913208442021,3589.0
linear_svm,HOME & LIVING,0.6047227926078029,0.6840882694541232,0.6419618528610355,861.0
linear_svm,TRAVEL,0.6216103462661661,0.7525252525252525,0.6808316198309344,1980.0
linear_svm,QUEER VOICES,0.7401079136690647,0.6485421591804571,0.6913061738765225,1269.0
linear_svm,DIVORCE,0.7592891760904685,0.6861313868613139,0.7208588957055214,685.0
linear_svm,STYLE & BEAUTY,0.7035664659564613,0.7757916241062308,0.7379159582220063,1958.0
linear_svm,POLITICS,0.6958926680004708,0.8305941845764855,0.7573002049180327,7119.0
linear_svm,WEDDINGS,0.7626886145404664,0.7606019151846786,0.7616438356164383,731.0
